REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRBCKPRTXX,1,2049,999999.0
GLOBAL,PWRBCKPRTXX,1,2050,999999.0
GLOBAL,PWRBCKPRYXX,1,2021,999999.0
GLOBAL,PWRBCKPRYXX,1,2022,999999.0
GLOBAL,PWRBCKPRYXX,1,2023,999999.0
GLOBAL,PWRBCKPRYXX,1,2024,999999.0
GLOBAL,PWRBCKPRYXX,1,2025,999999.0
GLOBAL,PWRBCKPRYXX,1,2026,999999.0
GLOBAL,PWRBCKPRYXX,1,2027,999999.0
GLOBAL,PWRBCKPRYXX,1,2028,999999.0
GLOBAL,PWRBCKPRYXX,1,2029,999999.0
GLOBAL,PWRBCKPRYXX,1,2030,999999.0
GLOBAL,PWRBCKPRYXX,1,2031,999999.0
GLOBAL,PWRBCKPRYXX,1,2032,999999.0
GLOBAL,PWRBCKPRYXX,1,2033,999999.0
GLOBAL,PWRBCKPRYXX,1,2034,999999.0
GLOBAL,PWRBCKPRYXX,1,2035,999999.0
GLOBAL,PWRBCKPRYXX,1,2036,999999.0
GLOBAL,PWRBCKPRYXX,1,2037,999999.0
GLOBAL,PWRBCKPRYXX,1,2038,999999.0
GLOBAL,PWRBCKPRYXX,1,2039,999999.0
GLOBAL,PWRBCKPRYXX,1,2040,999999.0
GLOBAL,PWRBCKPRYXX,1,2041,999999.0
GLOBAL,PWRBCKPRYXX,1,2042,999999.0
GLOBAL,PWRBCKPRYXX,1,2043,999999.0
GLOBAL,PWRBCKPRYXX,1,2044,999999.0
GLOBAL,PWRBCKPRYXX,1,2045,999999.0
GLOBAL,PWRBCKPRYXX,1,2046,999999.0
GLOBAL,PWRBCKPRYXX,1,2047,999999.0
GLOBAL,PWRBCKPRYXX,1,2048,999999.0
GLOBAL,PWRBCKPRYXX,1,2049,999999.0
GLOBAL,PWRBCKPRYXX,1,2050,999999.0
GLOBAL,PWRBCKQATXX,1,2021,999999.0
GLOBAL,PWRBCKQATXX,1,2022,999999.0
GLOBAL,PWRBCKQATXX,1,2023,999999.0
GLOBAL,PWRBCKQATXX,1,2024,999999.0
GLOBAL,PWRBCKQATXX,1,2025,999999.0
GLOBAL,PWRBCKQATXX,1,2026,999999.0
GLOBAL,PWRBCKQATXX,1,2027,999999.0
GLOBAL,PWRBCKQATXX,1,2028,999999.0
GLOBAL,PWRBCKQATXX,1,2029,999999.0
GLOBAL,PWRBCKQATXX,1,2030,999999.0
GLOBAL,PWRBCKQATXX,1,2031,999999.0
GLOBAL,PWRBCKQATXX,1,2032,999999.0
GLOBAL,PWRBCKQATXX,1,2033,999999.0
GLOBAL,PWRBCKQATXX,1,2034,999999.0
GLOBAL,PWRBCKQATXX,1,2035,999999.0
GLOBAL,PWRBCKQATXX,1,2036,999999.0
GLOBAL,PWRBCKQATXX,1,2037,999999.0
GLOBAL,PWRBCKQATXX,1,2038,999999.0
GLOBAL,PWRBCKQATXX,1,2039,999999.0
GLOBAL,PWRBCKQATXX,1,2040,999999.0
GLOBAL,PWRBCKQATXX,1,2041,999999.0
GLOBAL,PWRBCKQATXX,1,2042,999999.0
GLOBAL,PWRBCKQATXX,1,2043,999999.0
GLOBAL,PWRBCKQATXX,1,2044,999999.0
GLOBAL,PWRBCKQATXX,1,2045,999999.0
GLOBAL,PWRBCKQATXX,1,2046,999999.0
GLOBAL,PWRBCKQATXX,1,2047,999999.0
GLOBAL,PWRBCKQATXX,1,2048,999999.0
GLOBAL,PWRBCKQATXX,1,2049,999999.0
GLOBAL,PWRBCKQATXX,1,2050,999999.0
GLOBAL,PWRBCKROUXX,1,2021,999999.0
GLOBAL,PWRBCKROUXX,1,2022,999999.0
GLOBAL,PWRBCKROUXX,1,2023,999999.0
GLOBAL,PWRBCKROUXX,1,2024,999999.0
GLOBAL,PWRBCKROUXX,1,2025,999999.0
GLOBAL,PWRBCKROUXX,1,2026,999999.0
GLOBAL,PWRBCKROUXX,1,2027,999999.0
GLOBAL,PWRBCKROUXX,1,2028,999999.0
GLOBAL,PWRBCKROUXX,1,2029,999999.0
GLOBAL,PWRBCKROUXX,1,2030,999999.0
GLOBAL,PWRBCKROUXX,1,2031,999999.0
GLOBAL,PWRBCKROUXX,1,2032,999999.0
GLOBAL,PWRBCKROUXX,1,2033,999999.0
GLOBAL,PWRBCKROUXX,1,2034,999999.0
GLOBAL,PWRBCKROUXX,1,2035,999999.0
GLOBAL,PWRBCKROUXX,1,2036,999999.0
GLOBAL,PWRBCKROUXX,1,2037,999999.0
GLOBAL,PWRBCKROUXX,1,2038,999999.0
GLOBAL,PWRBCKROUXX,1,2039,999999.0
GLOBAL,PWRBCKROUXX,1,2040,999999.0
GLOBAL,PWRBCKROUXX,1,2041,999999.0
GLOBAL,PWRBCKROUXX,1,2042,999999.0
GLOBAL,PWRBCKROUXX,1,2043,999999.0
GLOBAL,PWRBCKROUXX,1,2044,999999.0
GLOBAL,PWRBCKROUXX,1,2045,999999.0
GLOBAL,PWRBCKROUXX,1,2046,999999.0
GLOBAL,PWRBCKROUXX,1,2047,999999.0
GLOBAL,PWRBCKROUXX,1,2048,999999.0
GLOBAL,PWRBCKROUXX,1,2049,999999.0
GLOBAL,PWRBCKROUXX,1,2050,999999.0
GLOBAL,PWRBCKRUSCE,1,2021,999999.0
GLOBAL,PWRBCKRUSCE,1,2022,999999.0
GLOBAL,PWRBCKRUSCE,1,2023,999999.0
GLOBAL,PWRBCKRUSCE,1,2024,999999.0
GLOBAL,PWRBCKRUSCE,1,2025,999999.0
GLOBAL,PWRBCKRUSCE,1,2026,999999.0
GLOBAL,PWRBCKRUSCE,1,2027,999999.0
GLOBAL,PWRBCKRUSCE,1,2028,999999.0
GLOBAL,PWRBCKRUSCE,1,2029,999999.0
GLOBAL,PWRBCKRUSCE,1,2030,999999.0
GLOBAL,PWRBCKRUSCE,1,2031,999999.0
GLOBAL,PWRBCKRUSCE,1,2032,999999.0
GLOBAL,PWRBCKRUSCE,1,2033,999999.0
GLOBAL,PWRBCKRUSCE,1,2034,999999.0
GLOBAL,PWRBCKRUSCE,1,2035,999999.0
GLOBAL,PWRBCKRUSCE,1,2036,999999.0
GLOBAL,PWRBCKRUSCE,1,2037,999999.0
GLOBAL,PWRBCKRUSCE,1,2038,999999.0
GLOBAL,PWRBCKRUSCE,1,2039,999999.0
GLOBAL,PWRBCKRUSCE,1,2040,999999.0
GLOBAL,PWRBCKRUSCE,1,2041,999999.0
GLOBAL,PWRBCKRUSCE,1,2042,999999.0
GLOBAL,PWRBCKRUSCE,1,2043,999999.0
GLOBAL,PWRBCKRUSCE,1,2044,999999.0
GLOBAL,PWRBCKRUSCE,1,2045,999999.0
GLOBAL,PWRBCKRUSCE,1,2046,999999.0
GLOBAL,PWRBCKRUSCE,1,2047,999999.0
GLOBAL,PWRBCKRUSCE,1,2048,999999.0
GLOBAL,PWRBCKRUSCE,1,2049,999999.0
GLOBAL,PWRBCKRUSCE,1,2050,999999.0
GLOBAL,PWRBCKRUSFE,1,2021,999999.0
GLOBAL,PWRBCKRUSFE,1,2022,999999.0
GLOBAL,PWRBCKRUSFE,1,2023,999999.0
GLOBAL,PWRBCKRUSFE,1,2024,999999.0
GLOBAL,PWRBCKRUSFE,1,2025,999999.0
GLOBAL,PWRBCKRUSFE,1,2026,999999.0
GLOBAL,PWRBCKRUSFE,1,2027,999999.0
GLOBAL,PWRBCKRUSFE,1,2028,999999.0
GLOBAL,PWRBCKRUSFE,1,2029,999999.0
GLOBAL,PWRBCKRUSFE,1,2030,999999.0
GLOBAL,PWRBCKRUSFE,1,2031,999999.0
GLOBAL,PWRBCKRUSFE,1,2032,999999.0
GLOBAL,PWRBCKRUSFE,1,2033,999999.0
GLOBAL,PWRBCKRUSFE,1,2034,999999.0
GLOBAL,PWRBCKRUSFE,1,2035,999999.0
GLOBAL,PWRBCKRUSFE,1,2036,999999.0
GLOBAL,PWRBCKRUSFE,1,2037,999999.0
GLOBAL,PWRBCKRUSFE,1,2038,999999.0
GLOBAL,PWRBCKRUSFE,1,2039,999999.0
GLOBAL,PWRBCKRUSFE,1,2040,999999.0
GLOBAL,PWRBCKRUSFE,1,2041,999999.0
GLOBAL,PWRBCKRUSFE,1,2042,999999.0
GLOBAL,PWRBCKRUSFE,1,2043,999999.0
GLOBAL,PWRBCKRUSFE,1,2044,999999.0
GLOBAL,PWRBCKRUSFE,1,2045,999999.0
GLOBAL,PWRBCKRUSFE,1,2046,999999.0
GLOBAL,PWRBCKRUSFE,1,2047,999999.0
GLOBAL,PWRBCKRUSFE,1,2048,999999.0
GLOBAL,PWRBCKRUSFE,1,2049,999999.0
GLOBAL,PWRBCKRUSFE,1,2050,999999.0
GLOBAL,PWRBCKRUSMV,1,2021,999999.0
GLOBAL,PWRBCKRUSMV,1,2022,999999.0
GLOBAL,PWRBCKRUSMV,1,2023,999999.0
GLOBAL,PWRBCKRUSMV,1,2024,999999.0
GLOBAL,PWRBCKRUSMV,1,2025,999999.0
GLOBAL,PWRBCKRUSMV,1,2026,999999.0
GLOBAL,PWRBCKRUSMV,1,2027,999999.0
GLOBAL,PWRBCKRUSMV,1,2028,999999.0
GLOBAL,PWRBCKRUSMV,1,2029,999999.0
GLOBAL,PWRBCKRUSMV,1,2030,999999.0
GLOBAL,PWRBCKRUSMV,1,2031,999999.0
GLOBAL,PWRBCKRUSMV,1,2032,999999.0
GLOBAL,PWRBCKRUSMV,1,2033,999999.0
GLOBAL,PWRBCKRUSMV,1,2034,999999.0
GLOBAL,PWRBCKRUSMV,1,2035,999999.0
GLOBAL,PWRBCKRUSMV,1,2036,999999.0
GLOBAL,PWRBCKRUSMV,1,2037,999999.0
GLOBAL,PWRBCKRUSMV,1,2038,999999.0
GLOBAL,PWRBCKRUSMV,1,2039,999999.0
GLOBAL,PWRBCKRUSMV,1,2040,999999.0
GLOBAL,PWRBCKRUSMV,1,2041,999999.0
GLOBAL,PWRBCKRUSMV,1,2042,999999.0
GLOBAL,PWRBCKRUSMV,1,2043,999999.0
GLOBAL,PWRBCKRUSMV,1,2044,999999.0
GLOBAL,PWRBCKRUSMV,1,2045,999999.0
GLOBAL,PWRBCKRUSMV,1,2046,999999.0
GLOBAL,PWRBCKRUSMV,1,2047,999999.0
GLOBAL,PWRBCKRUSMV,1,2048,999999.0
GLOBAL,PWRBCKRUSMV,1,2049,999999.0
GLOBAL,PWRBCKRUSMV,1,2050,999999.0
GLOBAL,PWRBCKRUSNW,1,2021,999999.0
GLOBAL,PWRBCKRUSNW,1,2022,999999.0
GLOBAL,PWRBCKRUSNW,1,2023,999999.0
GLOBAL,PWRBCKRUSNW,1,2024,999999.0
GLOBAL,PWRBCKRUSNW,1,2025,999999.0
GLOBAL,PWRBCKRUSNW,1,2026,999999.0
GLOBAL,PWRBCKRUSNW,1,2027,999999.0
GLOBAL,PWRBCKRUSNW,1,2028,999999.0
GLOBAL,PWRBCKRUSNW,1,2029,999999.0
GLOBAL,PWRBCKRUSNW,1,2030,999999.0
GLOBAL,PWRBCKRUSNW,1,2031,999999.0
GLOBAL,PWRBCKRUSNW,1,2032,999999.0
GLOBAL,PWRBCKRUSNW,1,2033,999999.0
GLOBAL,PWRBCKRUSNW,1,2034,999999.0
GLOBAL,PWRBCKRUSNW,1,2035,999999.0
GLOBAL,PWRBCKRUSNW,1,2036,999999.0
GLOBAL,PWRBCKRUSNW,1,2037,999999.0
GLOBAL,PWRBCKRUSNW,1,2038,999999.0
GLOBAL,PWRBCKRUSNW,1,2039,999999.0
GLOBAL,PWRBCKRUSNW,1,2040,999999.0
GLOBAL,PWRBCKRUSNW,1,2041,999999.0
GLOBAL,PWRBCKRUSNW,1,2042,999999.0
GLOBAL,PWRBCKRUSNW,1,2043,999999.0
GLOBAL,PWRBCKRUSNW,1,2044,999999.0
GLOBAL,PWRBCKRUSNW,1,2045,999999.0
GLOBAL,PWRBCKRUSNW,1,2046,999999.0
GLOBAL,PWRBCKRUSNW,1,2047,999999.0
GLOBAL,PWRBCKRUSNW,1,2048,999999.0
GLOBAL,PWRBCKRUSNW,1,2049,999999.0
GLOBAL,PWRBCKRUSNW,1,2050,999999.0
GLOBAL,PWRBCKRUSSI,1,2021,999999.0
GLOBAL,PWRBCKRUSSI,1,2022,999999.0
GLOBAL,PWRBCKRUSSI,1,2023,999999.0
GLOBAL,PWRBCKRUSSI,1,2024,999999.0
GLOBAL,PWRBCKRUSSI,1,2025,999999.0
GLOBAL,PWRBCKRUSSI,1,2026,999999.0
GLOBAL,PWRBCKRUSSI,1,2027,999999.0
GLOBAL,PWRBCKRUSSI,1,2028,999999.0
GLOBAL,PWRBCKRUSSI,1,2029,999999.0
GLOBAL,PWRBCKRUSSI,1,2030,999999.0
GLOBAL,PWRBCKRUSSI,1,2031,999999.0
GLOBAL,PWRBCKRUSSI,1,2032,999999.0
GLOBAL,PWRBCKRUSSI,1,2033,999999.0
GLOBAL,PWRBCKRUSSI,1,2034,999999.0
GLOBAL,PWRBCKRUSSI,1,2035,999999.0
GLOBAL,PWRBCKRUSSI,1,2036,999999.0
GLOBAL,PWRBCKRUSSI,1,2037,999999.0
GLOBAL,PWRBCKRUSSI,1,2038,999999.0
GLOBAL,PWRBCKRUSSI,1,2039,999999.0
GLOBAL,PWRBCKRUSSI,1,2040,999999.0
GLOBAL,PWRBCKRUSSI,1,2041,999999.0
GLOBAL,PWRBCKRUSSI,1,2042,999999.0
GLOBAL,PWRBCKRUSSI,1,2043,999999.0
GLOBAL,PWRBCKRUSSI,1,2044,999999.0
GLOBAL,PWRBCKRUSSI,1,2045,999999.0
GLOBAL,PWRBCKRUSSI,1,2046,999999.0
GLOBAL,PWRBCKRUSSI,1,2047,999999.0
GLOBAL,PWRBCKRUSSI,1,2048,999999.0
GLOBAL,PWRBCKRUSSI,1,2049,999999.0
GLOBAL,PWRBCKRUSSI,1,2050,999999.0
GLOBAL,PWRBCKRUSSO,1,2021,999999.0
GLOBAL,PWRBCKRUSSO,1,2022,999999.0
GLOBAL,PWRBCKRUSSO,1,2023,999999.0
GLOBAL,PWRBCKRUSSO,1,2024,999999.0
GLOBAL,PWRBCKRUSSO,1,2025,999999.0
GLOBAL,PWRBCKRUSSO,1,2026,999999.0
GLOBAL,PWRBCKRUSSO,1,2027,999999.0
GLOBAL,PWRBCKRUSSO,1,2028,999999.0
GLOBAL,PWRBCKRUSSO,1,2029,999999.0
GLOBAL,PWRBCKRUSSO,1,2030,999999.0
GLOBAL,PWRBCKRUSSO,1,2031,999999.0
GLOBAL,PWRBCKRUSSO,1,2032,999999.0
GLOBAL,PWRBCKRUSSO,1,2033,999999.0
GLOBAL,PWRBCKRUSSO,1,2034,999999.0
GLOBAL,PWRBCKRUSSO,1,2035,999999.0
GLOBAL,PWRBCKRUSSO,1,2036,999999.0
GLOBAL,PWRBCKRUSSO,1,2037,999999.0
GLOBAL,PWRBCKRUSSO,1,2038,999999.0
GLOBAL,PWRBCKRUSSO,1,2039,999999.0
GLOBAL,PWRBCKRUSSO,1,2040,999999.0
GLOBAL,PWRBCKRUSSO,1,2041,999999.0
GLOBAL,PWRBCKRUSSO,1,2042,999999.0
GLOBAL,PWRBCKRUSSO,1,2043,999999.0
GLOBAL,PWRBCKRUSSO,1,2044,999999.0
GLOBAL,PWRBCKRUSSO,1,2045,999999.0
GLOBAL,PWRBCKRUSSO,1,2046,999999.0
GLOBAL,PWRBCKRUSSO,1,2047,999999.0
GLOBAL,PWRBCKRUSSO,1,2048,999999.0
GLOBAL,PWRBCKRUSSO,1,2049,999999.0
GLOBAL,PWRBCKRUSSO,1,2050,999999.0
GLOBAL,PWRBCKRUSUR,1,2021,999999.0
GLOBAL,PWRBCKRUSUR,1,2022,999999.0
GLOBAL,PWRBCKRUSUR,1,2023,999999.0
GLOBAL,PWRBCKRUSUR,1,2024,999999.0
GLOBAL,PWRBCKRUSUR,1,2025,999999.0
GLOBAL,PWRBCKRUSUR,1,2026,999999.0
GLOBAL,PWRBCKRUSUR,1,2027,999999.0
GLOBAL,PWRBCKRUSUR,1,2028,999999.0
GLOBAL,PWRBCKRUSUR,1,2029,999999.0
GLOBAL,PWRBCKRUSUR,1,2030,999999.0
GLOBAL,PWRBCKRUSUR,1,2031,999999.0
GLOBAL,PWRBCKRUSUR,1,2032,999999.0
GLOBAL,PWRBCKRUSUR,1,2033,999999.0
GLOBAL,PWRBCKRUSUR,1,2034,999999.0
GLOBAL,PWRBCKRUSUR,1,2035,999999.0
GLOBAL,PWRBCKRUSUR,1,2036,999999.0
GLOBAL,PWRBCKRUSUR,1,2037,999999.0
GLOBAL,PWRBCKRUSUR,1,2038,999999.0
GLOBAL,PWRBCKRUSUR,1,2039,999999.0
GLOBAL,PWRBCKRUSUR,1,2040,999999.0
GLOBAL,PWRBCKRUSUR,1,2041,999999.0
GLOBAL,PWRBCKRUSUR,1,2042,999999.0
GLOBAL,PWRBCKRUSUR,1,2043,999999.0
GLOBAL,PWRBCKRUSUR,1,2044,999999.0
GLOBAL,PWRBCKRUSUR,1,2045,999999.0
GLOBAL,PWRBCKRUSUR,1,2046,999999.0
GLOBAL,PWRBCKRUSUR,1,2047,999999.0
GLOBAL,PWRBCKRUSUR,1,2048,999999.0
GLOBAL,PWRBCKRUSUR,1,2049,999999.0
GLOBAL,PWRBCKRUSUR,1,2050,999999.0
GLOBAL,PWRBCKRWAXX,1,2021,999999.0
GLOBAL,PWRBCKRWAXX,1,2022,999999.0
GLOBAL,PWRBCKRWAXX,1,2023,999999.0
GLOBAL,PWRBCKRWAXX,1,2024,999999.0
GLOBAL,PWRBCKRWAXX,1,2025,999999.0
GLOBAL,PWRBCKRWAXX,1,2026,999999.0
GLOBAL,PWRBCKRWAXX,1,2027,999999.0
GLOBAL,PWRBCKRWAXX,1,2028,999999.0
GLOBAL,PWRBCKRWAXX,1,2029,999999.0
GLOBAL,PWRBCKRWAXX,1,2030,999999.0
GLOBAL,PWRBCKRWAXX,1,2031,999999.0
GLOBAL,PWRBCKRWAXX,1,2032,999999.0
GLOBAL,PWRBCKRWAXX,1,2033,999999.0
GLOBAL,PWRBCKRWAXX,1,2034,999999.0
GLOBAL,PWRBCKRWAXX,1,2035,999999.0
GLOBAL,PWRBCKRWAXX,1,2036,999999.0
GLOBAL,PWRBCKRWAXX,1,2037,999999.0
GLOBAL,PWRBCKRWAXX,1,2038,999999.0
GLOBAL,PWRBCKRWAXX,1,2039,999999.0
GLOBAL,PWRBCKRWAXX,1,2040,999999.0
GLOBAL,PWRBCKRWAXX,1,2041,999999.0
GLOBAL,PWRBCKRWAXX,1,2042,999999.0
GLOBAL,PWRBCKRWAXX,1,2043,999999.0
GLOBAL,PWRBCKRWAXX,1,2044,999999.0
GLOBAL,PWRBCKRWAXX,1,2045,999999.0
GLOBAL,PWRBCKRWAXX,1,2046,999999.0
GLOBAL,PWRBCKRWAXX,1,2047,999999.0
GLOBAL,PWRBCKRWAXX,1,2048,999999.0
GLOBAL,PWRBCKRWAXX,1,2049,999999.0
GLOBAL,PWRBCKRWAXX,1,2050,999999.0
GLOBAL,PWRBCKSAUXX,1,2021,999999.0
GLOBAL,PWRBCKSAUXX,1,2022,999999.0
GLOBAL,PWRBCKSAUXX,1,2023,999999.0
GLOBAL,PWRBCKSAUXX,1,2024,999999.0
GLOBAL,PWRBCKSAUXX,1,2025,999999.0
GLOBAL,PWRBCKSAUXX,1,2026,999999.0
GLOBAL,PWRBCKSAUXX,1,2027,999999.0
GLOBAL,PWRBCKSAUXX,1,2028,999999.0
GLOBAL,PWRBCKSAUXX,1,2029,999999.0
GLOBAL,PWRBCKSAUXX,1,2030,999999.0
GLOBAL,PWRBCKSAUXX,1,2031,999999.0
GLOBAL,PWRBCKSAUXX,1,2032,999999.0
GLOBAL,PWRBCKSAUXX,1,2033,999999.0
GLOBAL,PWRBCKSAUXX,1,2034,999999.0
GLOBAL,PWRBCKSAUXX,1,2035,999999.0
GLOBAL,PWRBCKSAUXX,1,2036,999999.0
GLOBAL,PWRBCKSAUXX,1,2037,999999.0
GLOBAL,PWRBCKSAUXX,1,2038,999999.0
GLOBAL,PWRBCKSAUXX,1,2039,999999.0
GLOBAL,PWRBCKSAUXX,1,2040,999999.0
GLOBAL,PWRBCKSAUXX,1,2041,999999.0
GLOBAL,PWRBCKSAUXX,1,2042,999999.0
GLOBAL,PWRBCKSAUXX,1,2043,999999.0
GLOBAL,PWRBCKSAUXX,1,2044,999999.0
GLOBAL,PWRBCKSAUXX,1,2045,999999.0
GLOBAL,PWRBCKSAUXX,1,2046,999999.0
GLOBAL,PWRBCKSAUXX,1,2047,999999.0
GLOBAL,PWRBCKSAUXX,1,2048,999999.0
GLOBAL,PWRBCKSAUXX,1,2049,999999.0
GLOBAL,PWRBCKSAUXX,1,2050,999999.0
GLOBAL,PWRBCKSDNXX,1,2021,999999.0
GLOBAL,PWRBCKSDNXX,1,2022,999999.0
GLOBAL,PWRBCKSDNXX,1,2023,999999.0
GLOBAL,PWRBCKSDNXX,1,2024,999999.0
GLOBAL,PWRBCKSDNXX,1,2025,999999.0
GLOBAL,PWRBCKSDNXX,1,2026,999999.0
GLOBAL,PWRBCKSDNXX,1,2027,999999.0
GLOBAL,PWRBCKSDNXX,1,2028,999999.0
GLOBAL,PWRBCKSDNXX,1,2029,999999.0
GLOBAL,PWRBCKSDNXX,1,2030,999999.0
GLOBAL,PWRBCKSDNXX,1,2031,999999.0
GLOBAL,PWRBCKSDNXX,1,2032,999999.0
GLOBAL,PWRBCKSDNXX,1,2033,999999.0
GLOBAL,PWRBCKSDNXX,1,2034,999999.0
GLOBAL,PWRBCKSDNXX,1,2035,999999.0
GLOBAL,PWRBCKSDNXX,1,2036,999999.0
GLOBAL,PWRBCKSDNXX,1,2037,999999.0
GLOBAL,PWRBCKSDNXX,1,2038,999999.0
GLOBAL,PWRBCKSDNXX,1,2039,999999.0
GLOBAL,PWRBCKSDNXX,1,2040,999999.0
GLOBAL,PWRBCKSDNXX,1,2041,999999.0
GLOBAL,PWRBCKSDNXX,1,2042,999999.0
GLOBAL,PWRBCKSDNXX,1,2043,999999.0
GLOBAL,PWRBCKSDNXX,1,2044,999999.0
GLOBAL,PWRBCKSDNXX,1,2045,999999.0
GLOBAL,PWRBCKSDNXX,1,2046,999999.0
GLOBAL,PWRBCKSDNXX,1,2047,999999.0
GLOBAL,PWRBCKSDNXX,1,2048,999999.0
GLOBAL,PWRBCKSDNXX,1,2049,999999.0
GLOBAL,PWRBCKSDNXX,1,2050,999999.0
GLOBAL,PWRBCKSENXX,1,2021,999999.0
GLOBAL,PWRBCKSENXX,1,2022,999999.0
GLOBAL,PWRBCKSENXX,1,2023,999999.0
GLOBAL,PWRBCKSENXX,1,2024,999999.0
GLOBAL,PWRBCKSENXX,1,2025,999999.0
GLOBAL,PWRBCKSENXX,1,2026,999999.0
GLOBAL,PWRBCKSENXX,1,2027,999999.0
GLOBAL,PWRBCKSENXX,1,2028,999999.0
GLOBAL,PWRBCKSENXX,1,2029,999999.0
GLOBAL,PWRBCKSENXX,1,2030,999999.0
GLOBAL,PWRBCKSENXX,1,2031,999999.0
GLOBAL,PWRBCKSENXX,1,2032,999999.0
GLOBAL,PWRBCKSENXX,1,2033,999999.0
GLOBAL,PWRBCKSENXX,1,2034,999999.0
GLOBAL,PWRBCKSENXX,1,2035,999999.0
GLOBAL,PWRBCKSENXX,1,2036,999999.0
GLOBAL,PWRBCKSENXX,1,2037,999999.0
GLOBAL,PWRBCKSENXX,1,2038,999999.0
GLOBAL,PWRBCKSENXX,1,2039,999999.0
GLOBAL,PWRBCKSENXX,1,2040,999999.0
GLOBAL,PWRBCKSENXX,1,2041,999999.0
GLOBAL,PWRBCKSENXX,1,2042,999999.0
GLOBAL,PWRBCKSENXX,1,2043,999999.0
GLOBAL,PWRBCKSENXX,1,2044,999999.0
GLOBAL,PWRBCKSENXX,1,2045,999999.0
GLOBAL,PWRBCKSENXX,1,2046,999999.0
GLOBAL,PWRBCKSENXX,1,2047,999999.0
GLOBAL,PWRBCKSENXX,1,2048,999999.0
GLOBAL,PWRBCKSENXX,1,2049,999999.0
GLOBAL,PWRBCKSENXX,1,2050,999999.0
GLOBAL,PWRBCKSGPXX,1,2021,999999.0
GLOBAL,PWRBCKSGPXX,1,2022,999999.0
GLOBAL,PWRBCKSGPXX,1,2023,999999.0
GLOBAL,PWRBCKSGPXX,1,2024,999999.0
GLOBAL,PWRBCKSGPXX,1,2025,999999.0
GLOBAL,PWRBCKSGPXX,1,2026,999999.0
GLOBAL,PWRBCKSGPXX,1,2027,999999.0
GLOBAL,PWRBCKSGPXX,1,2028,999999.0
GLOBAL,PWRBCKSGPXX,1,2029,999999.0
GLOBAL,PWRBCKSGPXX,1,2030,999999.0
GLOBAL,PWRBCKSGPXX,1,2031,999999.0
GLOBAL,PWRBCKSGPXX,1,2032,999999.0
GLOBAL,PWRBCKSGPXX,1,2033,999999.0
GLOBAL,PWRBCKSGPXX,1,2034,999999.0
GLOBAL,PWRBCKSGPXX,1,2035,999999.0
GLOBAL,PWRBCKSGPXX,1,2036,999999.0
GLOBAL,PWRBCKSGPXX,1,2037,999999.0
GLOBAL,PWRBCKSGPXX,1,2038,999999.0
GLOBAL,PWRBCKSGPXX,1,2039,999999.0
GLOBAL,PWRBCKSGPXX,1,2040,999999.0
GLOBAL,PWRBCKSGPXX,1,2041,999999.0
GLOBAL,PWRBCKSGPXX,1,2042,999999.0
GLOBAL,PWRBCKSGPXX,1,2043,999999.0
GLOBAL,PWRBCKSGPXX,1,2044,999999.0
GLOBAL,PWRBCKSGPXX,1,2045,999999.0
GLOBAL,PWRBCKSGPXX,1,2046,999999.0
GLOBAL,PWRBCKSGPXX,1,2047,999999.0
GLOBAL,PWRBCKSGPXX,1,2048,999999.0
GLOBAL,PWRBCKSGPXX,1,2049,999999.0
GLOBAL,PWRBCKSGPXX,1,2050,999999.0
GLOBAL,PWRBCKSLEXX,1,2021,999999.0
GLOBAL,PWRBCKSLEXX,1,2022,999999.0
GLOBAL,PWRBCKSLEXX,1,2023,999999.0
GLOBAL,PWRBCKSLEXX,1,2024,999999.0
GLOBAL,PWRBCKSLEXX,1,2025,999999.0
GLOBAL,PWRBCKSLEXX,1,2026,999999.0
GLOBAL,PWRBCKSLEXX,1,2027,999999.0
GLOBAL,PWRBCKSLEXX,1,2028,999999.0
GLOBAL,PWRBCKSLEXX,1,2029,999999.0
GLOBAL,PWRBCKSLEXX,1,2030,999999.0
GLOBAL,PWRBCKSLEXX,1,2031,999999.0
GLOBAL,PWRBCKSLEXX,1,2032,999999.0
GLOBAL,PWRBCKSLEXX,1,2033,999999.0
GLOBAL,PWRBCKSLEXX,1,2034,999999.0
GLOBAL,PWRBCKSLEXX,1,2035,999999.0
GLOBAL,PWRBCKSLEXX,1,2036,999999.0
GLOBAL,PWRBCKSLEXX,1,2037,999999.0
GLOBAL,PWRBCKSLEXX,1,2038,999999.0
GLOBAL,PWRBCKSLEXX,1,2039,999999.0
GLOBAL,PWRBCKSLEXX,1,2040,999999.0
GLOBAL,PWRBCKSLEXX,1,2041,999999.0
GLOBAL,PWRBCKSLEXX,1,2042,999999.0
GLOBAL,PWRBCKSLEXX,1,2043,999999.0
GLOBAL,PWRBCKSLEXX,1,2044,999999.0
GLOBAL,PWRBCKSLEXX,1,2045,999999.0
GLOBAL,PWRBCKSLEXX,1,2046,999999.0
GLOBAL,PWRBCKSLEXX,1,2047,999999.0
GLOBAL,PWRBCKSLEXX,1,2048,999999.0
GLOBAL,PWRBCKSLEXX,1,2049,999999.0
GLOBAL,PWRBCKSLEXX,1,2050,999999.0
GLOBAL,PWRBCKSLVXX,1,2021,999999.0
GLOBAL,PWRBCKSLVXX,1,2022,999999.0
